madde_id,kac,kelime_no,cesit,anlam_gor,on_taki,madde,cesit_say,anlam_say,taki,cogul_mu,ozel_mi,lisan_kodu,lisan,telaffuz,birlesikler,font,madde_duz,gosterim_tarihi,anlamlarListe,atasozu
16002,0,11828,0,0,,dağ merası,0,1,,0,0,0,,,,,dag merasi,,"[{'anlam_id': '20766', 'madde_id': '16002', 'anlam_sira': '1', 'fiil': '0', 'tipkes': '0', 'anlam': 'Dağlar arasında hayvan otlatmaya elverişli bölge, dağ otlağı', 'gos': '0', 'ozelliklerListe': [{'ozellik_id': '19', 'tur': '3', 'tam_adi': 'isim', 'kisa_adi': 'a.', 'ekno': '30'}]}]",
16003,0,11829,0,0,,dağ nanesi,0,1,,0,0,0,,,,,dag nanesi,,"[{'anlam_id': '20767', 'madde_id': '16003', 'anlam_sira': '1', 'fiil': '0', 'tipkes': '0', 'anlam': 'Yüksekliği 20-50 santimetre arasında olan, sık beyaz tüylü, kuvvetli nane kokulu, çok yıllık ve otsu bir bitki (Cyclotrichium niveum)', 'gos': '0', 'ozelliklerListe': [{'ozellik_id': '19', 'tur': '3', 'tam_adi': 'isim', 'kisa_adi': 'a.', 'ekno': '30'}, {'ozellik_id': '41', 'tur': '1', 'tam_adi': 'bitki bilimi', 'kisa_adi': 'bit. b.', 'ekno': '90'}]}]",
16004,0,11830,0,0,,dağ oluşu,0,1,,0,0,0,,,,,dag olusu,,"[{'anlam_id': '20768', 'madde_id': '16004', 'anlam_sira': '1', 'fiil': '0', 'tipkes': '0', 'anlam': 'Yer kabuğunun belli yerlerinde kıvrılma, kırılma ve yükselme olayları sonucu dağların oluşunu inceleyen bilim kolu, orojeni', 'gos': '0', 'ozelliklerListe': [{'ozellik_id': '19', 'tur': '3', 'tam_adi': 'isim', 'kisa_adi': 'a.', 'ekno': '30'}, {'ozellik_id': '60', 'tur': '1', 'tam_adi': 'jeoloji', 'kisa_adi': 'jeol.', 'ekno': '110'}]}]",
16005,0,11831,0,0,,dağ otlağı,0,1,,0,0,0,,,,,dag otlagi,,"[{'anlam_id': '20769', 'madde_id': '16005', 'anlam_sira': '1', 'fiil': '0', 'tipkes': '0', 'anlam': 'Dağ merası', 'gos': '0', 'ozelliklerListe': [{'ozellik_id': '19', 'tur': '3', 'tam_adi': 'isim', 'kisa_adi': 'a.', 'ekno': '30'}]}]",
16006,0,11833,0,0,,dağ serçesi,0,1,,0,0,0,,,,,dag sercesi,,"[{'anlam_id': '20770', 'madde_id': '16006', 'anlam_sira': '1', 'fiil': '0', 'tipkes': '0', 'anlam': 'Serçegillerden, orman ve bahçelerde yaşayan sırtı kahverengi, karnı kül rengi ve beyaz olan bir tür serçe, ağaç serçesi (Passer montanus)', 'gos': '0', 'ozelliklerListe': [{'ozellik_id': '19', 'tur': '3', 'tam_adi': 'isim', 'kisa_adi': 'a.', 'ekno': '30'}, {'ozellik_id': '53', 'tur': '1', 'tam_adi': 'hayvan bilimi', 'kisa_adi': 'hay. b.', 'ekno': '102'}]}]",
16007,0,11835,0,0,,dağ sıçanı,0,1,,0,0,0,,,,,dag sicani,,"[{'anlam_id': '20771', 'madde_id': '16007', 'anlam_sira': '1', 'fiil': '0', 'tipkes': '0', 'anlam': 'Kemiriciler takımının sincapgiller familyasından, postu beğenilen bir tür memeli (Marmota marmota)', 'gos': '0', 'ozelliklerListe': [{'ozellik_id': '19', 'tur': '3', 'tam_adi': 'isim', 'kisa_adi': 'a.', 'ekno': '30'}, {'ozellik_id': '53', 'tur': '1', 'tam_adi': 'hayvan bilimi', 'kisa_adi': 'hay. b.', 'ekno': '102'}]}]",
16008,0,11838,0,0,,dağ taş,0,1,,0,0,0,,,,,dag tas,,"[{'anlam_id': '20772', 'madde_id': '16008', 'anlam_sira': '1', 'fiil': '0', 'tipkes': '0', 'anlam': 'Her yer, her taraf', 'gos': '0', 'orneklerListe': [{'ornek_id': '21692', 'anlam_id': '20772', 'ornek_sira': '1', 'ornek': 'Dağda taşta insanların düzmeciliği yoktu.', 'kac': '1', 'yazar_id': '52', 'yazar': [{'yazar_id': '52', 'tam_adi': 'Halikarnas Balıkçısı', 'kisa_adi': 'Halikarnas Balıkçısı', 'ekno': '183'}]}], 'ozelliklerListe': [{'ozellik_id': '19', 'tur': '3', 'tam_adi': 'isim', 'kisa_adi': 'a.', 'ekno': '30'}, {'ozellik_id': '32', 'tur': '4', 'tam_adi': 'mecaz', 'kisa_adi': 'mec.', 'ekno': '43'}]}]",
16009,0,11839,0,0,,dağ tavuğu,0,1,,0,0,0,,,,,dag tavugu,,"[{'anlam_id': '20773', 'madde_id': '16009', 'anlam_sira': '1', 'fiil': '0', 'tipkes': '0', 'anlam': 'Çil (I)', 'gos': '0', 'ozelliklerListe': [{'ozellik_id': '19', 'tur': '3', 'tam_adi': 'isim', 'kisa_adi': 'a.', 'ekno': '30'}, {'ozellik_id': '53', 'tur': '1', 'tam_adi': 'hayvan bilimi', 'kisa_adi': 'hay. b.', 'ekno': '102'}]}]",
16010,0,11840,0,0,,dağ topu,0,1,,0,0,0,,,,,dag topu,,"[{'anlam_id': '20774', 'madde_id': '16010', 'anlam_sira': '1', 'fiil': '0', 'tipkes': '0', 'anlam': 'Katır sırtında taşınan küçük top', 'gos': '0', 'ozelliklerListe': [{'ozellik_id': '19', 'tur': '3', 'tam_adi': 'isim', 'kisa_adi': 'a.', 'ekno': '30'}, {'ozellik_id': '31', 'tur': '4', 'tam_adi': 'eskimiş', 'kisa_adi': 'esk.', 'ekno': '42'}, {'ozellik_id': '73', 'tur': '1', 'tam_adi': 'askerlik', 'kisa_adi': 'ask.', 'ekno': '124'}]}]",
16011,0,11844,0,0,,dah,1,1,,0,0,0,,,,,dah,,"[{'anlam_id': '20775', 'madde_id': '16011', 'anlam_sira': '1', 'fiil': '0', 'tipkes': '0', 'anlam': 'Deh', 'gos': '0', 'ozelliklerListe': [{'ozellik_id': '18', 'tur': '3', 'tam_adi': 'ünlem', 'kisa_adi': 'ünl.', 'ekno': '29'}]}]","[{'madde_id': '16012', 'madde': 'dah etmek', 'on_taki': None}]"
