madde,anlam
acınılma,Acınılmak işi
acube,Tuhaf kimse
açık fikirlilik,Açık fikirli olma durumu
adaklanma,Nişanlanma
adaletlilik,Adaletli olma durumu
addetme,Sayma
addolunma,Sayılma
adli polis,Adliye içerisinde güvenliği sağlayıp cumhuriyet savcısına bağlı olarak çalışan kolluk gücü
aforozlama,Aforozlamak işi
afsunlama,Büyüleme
afsunlanma,Büyülenme
afyonlama,Afyonlamak işi
afyonlanma,Afyonlanmak işi
ağaçlama,Ağaçlamak işi
ağaçlandırılma,Ağaçlandırılmak işi
ağaçlanma,Ağaçlanmak işi
ağalanma,Ağalanmak durumu
ağdalanma,Ağdalanmak işi
ağdırma,Ağdırmak işi
ağılanma,Zehirlenme
ağırellilik,Eli ağırlık
ağırkanlılık,Ağırkanlı olma durumu
ağırlanma,Ağırlanmak işi
ağırlaştırma,Ağırlaştırmak işi
ağırlatma,Ağırlatmak işi
ağırşaklanma,Ağırşaklanmak durumu
a,"Şaşma, hatırlama, sevinme, acıma, üzülme, kızma vb. duyguların anlatımına güç kazandıran söz"
"a, A","Türk alfabesinin ilk sırasında yer alan ve A adı verilen bu harf, ses bilimi bakımından kalın ünlülerin düz ve geniş olanını gösterir"
a'dan z'ye (kadar),"baştan aşağı, tamamen, tamamıyla, bütünüyle"
a / e,Dilek kipinin ikinci teklik ve çokluk şahıslarının çekiminden sonra gelerek anlamı pekiştiren ve güçlendiren bir söz
ab,Su
abayı yakmak,"birine aşırı bir biçimde gönül vermek, tutulmak, âşık olmak"
abayı sermek,istenilmediği hâlde teklifsizce yerleşmek
abanın kadri yağmurda bilinir,`bir şeyin gerçek değeri ona gereksinim duyulduğunda anlaşılır` anlamında kullanılan bir söz
"aba vakti yaba, yaba vakti aba",`gereksinimler vaktinden önce ve ucuz olduğu zaman karşılanmalıdır` anlamında kullanılan bir söz
aba gibi,kaba ve kalın (kumaş)
aba altından sopa (veya değnek) göstermek,birini imalı bir biçimde tehdit etmek
aba altında er yatar,`bir insanın değeri giyimiyle kuşamıyla ölçülemez` anlamında kullanılan bir söz
aba,Yünün dövülmesiyle yapılan kalın ve kaba kumaş
abacı,Aba yapan veya satan kimse
abacı kebeci (ara yerde) sen neci?,`seni ilgilendirmeyen işe niçin karışıyorsun?` anlamında kullanılan bir söz
abacılık,Abacının yaptığı iş
abadi,"Açık saman renginde, ipekten yapılan, yarı mat, kalınca bir yazı kâğıdı türü"
aba güreşi,Aba giyilerek ve bele kuşak bağlanarak yapılan bir güreş türü
abajur,"Işığı bir yere toplamak, doğrudan doğruya gözlere vurmasını önlemek için kullanılan, kâğıt, kumaş, maden veya renkli camdan yapılmış lamba siperi"
abajurcu,Abajur yapan veya satan kimse
abajurculuk,Abajurcunun yaptığı iş
abajurlu,Abajuru olan
abaküs,Sayı boncuğu
abalı,Aba giymiş olan
abandırma,Abandırmak işi
abandırmak,Bir kimsenin bir yere veya bir kimseye yaslanmasını sağlamak
abandone olmak,"dövüşemeyecek duruma gelmek, sersemlemek"
abandone etmek,"dövüşemeyecek duruma getirmek, sersemletmek"
abandone,Boks sporunda dövüşemeyecek duruma gelen boksörün karşılaşmayı yarıda bırakması
abani,"Genellikle sarık, bohça, kundak ve yorgan yüzü yapımında kullanılan, zemini beyaz, üzerinde safran renginde nakışlar bulunan ipek kumaş"
abanma,Abanmak işi
abanmak,"Eğilerek bir şeyin, bir kimsenin üzerine kapanmak"
abanoz,"Abanozgillerden, sıcak ülkelerde yetişen, kerestesinden yararlanılan birçok ağacın ortak adı"
abanoz gibi,çok sert
abanoz kesilmek,sertleşerek dayanıklılığı artmak
abanozgiller,"İki çeneklilerden, sıcak ülkelerde yetişen bir bitki familyası"
abanozlaşma,Abanozlaşmak durumu
abanozlaşmak,Ağaç gibi maddeler suda uzun süre kalarak kararmak
abartı,"Bir şeyi, bir olayı olduğundan büyük veya çok gösterme, mübalağa"
abartıcı,"Abartıyı huy edinen (kimse), abartmacı, mübalağacı"
abartıcılık,"Abartıcı olma durumu, abartmacılık, mübalağacılık"
abartılı,"Olduğundan fazla gösterilen, abartmalı, mübalağalı"
abartılma,Abartılmak işi
abartılmak,Abartma işine konu olmak
abartma,Abartmak işi
abartmacı,Abartıcı
abartmacılık,Abartıcılık
